ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BDI,71.22013277,71.7101704,73.89971533,77.77791911,81.20722839,92.34755377,103.7944172,135.0919238,148.8874058,168.7640603,186.774394,207.7160092,206.6398636,226.8458905,249.946142,288.0095592,287.3441265,302.9105555,369.1502963,405.2594128,434.6733931,461.5091248,523.1272323,531.3069159,534.9652527,553.8459543,564.3957462,626.1676025,605.9476929,582.1962891,595.6138306,609.5991821,673.8997549,724.1669522
BEL,0.913792,0.909327,0.919512,0.934089,0.933713,0.925701,0.927935,0.927651,0.935605,0.931348,0.9,0.892366,0.8733,0.876064,0.888301,0.891788,0.874274,0.878774,0.86694,0.850135,0.836717,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.775634,0.766407,0.735832,0.716165,0.705865,0.694643,0.701943
BEN,117.7487773,114.7587634,115.5961035,115.6051337,151.1109324,170.3560199,178.8487116,182.2649405,189.6687005,202.9999432,207.120598,206.5505865,210.6188295,212.8647351,208.8860495,211.2318367,209.2041856,204.4804972,213.5231131,217.6038044,216.8848722,220.4335785,233.1861389,229.8616012,222.6922744,217.4563027,210.7117777,212.2662354,215.7384033,210.4048767,212.435318,211.1066742,205.3828549,204.8685687
BFA,162.6035977,151.0438262,148.0137676,142.5018885,159.9474894,167.268153,164.8337086,164.5610803,175.6536393,203.324021,197.1904761,200.487915,203.4551209,202.4783185,197.3548183,198.51047,191.29545,190.8914576,204.437811,208.0722231,213.3438208,223.1158142,237.5922422,228.405865,227.3231965,220.2303563,209.0264836,201.5952759,208.2841949,200.7630615,199.5170898,199.7247467,197.5754488,194.4359163
BGD,13.55557571,13.47004788,13.50999325,13.21770129,13.45466022,14.11993637,14.45324078,14.74817292,15.27500718,15.63136186,15.81195013,15.96805212,16.33580961,16.95120031,17.26039017,17.50320877,17.97729563,18.63576222,19.72075154,20.92566764,22.15153146,23.40955544,23.73549952,24.85747308,25.65040461,27.04661205,28.18957073,29.35134506,29.397892,29.59568214,28.70980072,28.29668808,27.77009449,28.64145276
BGR,0.000689993,0.002179386,0.003400346,0.00501866,0.008486276,0.019612629,0.038199403,0.398256052,0.518748284,0.525164395,0.53596339,0.555792052,0.54766392,0.559800356,0.580237403,0.596505924,0.618232975,0.656294548,0.677696569,0.69323105,0.677084059,0.701113148,0.69285266,0.68004272,0.661276129,0.678748014,0.666690282,0.676343931,0.680144566,0.675831036,0.675228526,0.687201251,0.731910324,0.738553967
BHR,0.135815071,0.128899192,0.121575111,0.11516665,0.121025596,0.11983306,0.117910139,0.116991273,0.107526267,0.108842408,0.121675206,0.114992976,0.117099518,0.124710913,0.134793285,0.14864636,0.156950232,0.165700716,0.181044552,0.156554133,0.166183913,0.178678498,0.175286384,0.18021832,0.183168478,0.185784212,0.188678215,0.185696244,0.190370858,0.181090996,0.171287224,0.185745358,0.18688724,0.171277544
BHS,0.981485753,0.973650795,0.989136386,0.958001361,0.958453165,0.946303104,0.93843647,0.940311294,0.958214226,0.991622397,0.97860486,0.960434797,0.983193791,0.975293135,0.961102964,0.979000301,0.95757818,0.959803694,0.955678288,0.939976234,0.925044272,0.898563445,0.919978032,0.912468043,0.918396825,0.955871814,0.94831267,0.929797828,0.926608264,0.931452453,0.962290525,0.977568686,0.952545398,0.97735436
BIH,0.000236623,0.000339828,0.004857684,0.362762211,0.529635947,0.588181852,0.587077867,0.64147107,0.618865913,0.66169327,0.685164821,0.704285903,0.702113769,0.716716879,0.714367525,0.723439867,0.718469034,0.730927705,0.752875409,0.735231005,0.732406412,0.718201529,0.705977775,0.686190971,0.687254473,0.694141201,0.675592646,0.680729263,0.674483306,0.651095042,0.64300817,0.650537906,0.671847263,0.66728664
BLR,8.13E-09,1.65E-08,1.83E-07,2.07E-06,4.15E-05,0.000309318,0.000466918,0.000787876,0.001375773,0.005654119,0.01577338,0.027695064,0.039514363,0.050639685,0.060495518,0.069784756,0.074973588,0.082392489,0.097983001,0.10639867,0.116989823,0.196053222,0.320005868,0.373530842,0.4479619,0.524063801,0.562285911,0.60713613,0.647122502,0.641350508,0.641749382,0.688632727,0.739093726,0.765644162
